site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2077,2016-04-07,1,0.0260,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,2,0.0260,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,3,0.0240,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,4,0.0280,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,5,0.0280,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,6,0.0160,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,7,0.0160,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,13,0.0410,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,14,0.0380,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,15,0.0350,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,16,0.0280,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,17,0.0200,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,18,0.0210,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-07,19,0.0160,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
