site,monitor,date,start_hour,value,variable,units,quality,prelim 
2420,-,2016-04-07,9,0.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,11,38.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,12,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,13,24.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,14,24.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,15,29.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,16,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,17,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,18,23.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,19,21.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,20,25.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,21,26.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,22,20.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-07,23,25.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,0,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,1,24.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,2,25.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,3,27.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,4,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,5,28.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,6,26.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,7,26.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,8,26.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,9,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,10,33.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,11,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,12,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,13,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,14,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,15,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,16,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,17,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,18,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,19,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,20,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,21,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,22,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-08,23,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,0,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,1,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,2,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,3,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,4,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
2420,-,2016-04-09,5,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y 
